prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
WA7819,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7819.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
ER8126,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,GREY,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8126.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,FLORAL
WP2479,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,BLUE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2479.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
ER8228,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,BLUE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8228.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
ER8212,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8212.jpg,,,,PATTERN,CONTEMPORARY,,,,,,,STRIPES,
WP2516,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2516.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2500,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2500.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2411,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2411.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2404,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,BLUE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2404.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2513,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2513.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2454,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2454.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2419,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,BLUE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2419.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
ER8243,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8243.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2478,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2478.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
ER8186,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,GREEN,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8186.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
WA7818,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7818.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2459,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,BLUE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2459.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,FLORAL
WA7824,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7824.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
