prod_name,Collection,supplier,brand,color,pattern,category,link,image,cat_name,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
YW1465,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,GREY,Stock Bridge,#,/images/stock_bridge/YW1465.jpg,stockbridge,,,GEOMETRIC,PATTERN,CONTEMPORARY,TRADITIONAL,,,,,,,
YW1447,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,GREY,Stock Bridge,#,/images/stock_bridge/YW1447.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1457,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1457.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
YW1438,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BROWN,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1438.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1450,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GOLD,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1450.jpg,stockbridge,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,,
YW1482,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,PINK,Stock Bridge,#,/images/stock_bridge/YW1482.jpg,stockbridge,,,,,CONTEMPORARY,,,,,,,STRIPES,
YW1474,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,PINK,Stock Bridge,#,/images/stock_bridge/YW1474.jpg,stockbridge,,,,,CONTEMPORARY,TRADITIONAL,DAMASKS,,,,,STRIPES,
YW1425,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,WHITE,Stock Bridge,#,/images/stock_bridge/YW1425.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,,
YW1433,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,WHITE,Stock Bridge,#,/images/stock_bridge/YW1433.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,,
YW1404,STOCKBRIDGE,YORK,PARK PLACE STUDIO,MUSTARD,SILVER,Stock Bridge,#,/images/stock_bridge/YW1404.jpg,stockbridge,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,,
YW1418,STOCKBRIDGE,YORK,PARK PLACE STUDIO,MUSTARD,SILVER,Stock Bridge,#,/images/stock_bridge/YW1418.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
YW1496,STOCKBRIDGE,YORK,PARK PLACE STUDIO,MUSTARD,GOLD,Stock Bridge,#,/images/stock_bridge/YW1496.jpg,stockbridge,,,,PATTERN,,TRADITIONAL,,,,,,,
YW1488,STOCKBRIDGE,YORK,PARK PLACE STUDIO,RED,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1488.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1504,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,PINK,Stock Bridge,#,/images/stock_bridge/YW1504.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,STRIPES,
YW1421,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GOLD,RED,Stock Bridge,#,/images/stock_bridge/YW1421.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
YW1402,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GOLD,RED,Stock Bridge,#,/images/stock_bridge/YW1402.jpg,stockbridge,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,,
YW1459,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BROWN,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1459.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
YW1467,STOCKBRIDGE,YORK,PARK PLACE STUDIO,RED,WHITE,Stock Bridge,#,/images/stock_bridge/YW1467.jpg,stockbridge,,,GEOMETRIC,PATTERN,CONTEMPORARY,TRADITIONAL,,,,,,,
