prod_name,Collection,supplier,brand,color,pattern,category,cat_name,image,style,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,mural,stripes
GE3681,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE ,ashford geometrics,ashford,/images/ashford/GE3681.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3706,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE ,ashford geometrics,ashford,/images/ashford/GE3706.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3705,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,/images/ashford/GE3705.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3707,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3707.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3708,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BROWN,BEIGE,ashford geometrics,ashford,/images/ashford/GE3708.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3704,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,YELLOW,WHITE,ashford geometrics,ashford,/images/ashford/GE3704.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3709,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,BEIGE,ashford geometrics,ashford,/images/ashford/GE3709.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3617,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,YELLOW,WHITE,ashford geometrics,ashford,/images/ashford/GE3617.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3618,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,/images/ashford/GE3618.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3619,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3619.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3620,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,/images/ashford/GE3620.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3616,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,/images/ashford/GE3616.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3688,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3688.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3696,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3696.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3689,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,/images/ashford/GE3689.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3697,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,/images/ashford/GE3697.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3690,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE ,BLACK,ashford geometrics,ashford,/images/ashford/GE3690.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3698,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BLUE,ashford geometrics,ashford,/images/ashford/GE3698.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3691,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GOLD,ashford geometrics,ashford,/images/ashford/GE3691.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3699,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GOLD,ashford geometrics,ashford,/images/ashford/GE3699.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3692,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GREY,ashford geometrics,ashford,/images/ashford/GE3692.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
GE3700,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GREY,ashford geometrics,ashford,/images/ashford/GE3700.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,NA,NA,NA,NA,NA,NA,NA
